Date,ASIN,Order ID,Ciro $,Ara Depo,Ürün Maliyeti,Toplam Maliyet,Kar,%,HESAP
2023-05-27,B099K8XFG6,250-4844956-3011800,31.8,,22.15,22.15,9.650000000000002,0.4356659142212191,JP
2023-05-27,B0999D7JGB,503-6855856-5309465,40.0,,24.05,24.05,15.95,0.6632016632016632,JP
2023-05-28,B074WFDM89,503-3601961-6785443,21.7,,17.1,17.1,4.599999999999998,0.26900584795321625,JP
2023-05-29,B098VRXBZT,503-1795459-4335010,36.0,,24.01,24.01,11.989999999999998,0.49937526030820484,JP
2023-06-03,B08NDN99W9,503-7304663-1742256,21.0,,17.6,17.6,3.3999999999999986,0.1931818181818181,JP
2023-06-04,B087P72DSX, 503-7976937-6259849,25.8,,21.1,21.1,4.699999999999999,0.22274881516587672,JP
2023-06-04,B07FTXTZCY,249-0245130-7079079,41.6,,29.76,29.76,11.84,0.3978494623655914,JP
2023-06-07,B07H766TMY,249-1154476-0024615,29.9,,23.16,23.16,6.739999999999998,0.2910189982728842,JP
2023-06-09,B098T37423,503-0937411-6402230,23.0,,19.5,19.5,3.5,0.1794871794871795,JP
2023-06-09,B07J579P2Q,503-3649695-3459851,35.0,,24.86,24.86,10.14,0.40788415124698313,JP
2023-06-09,B07GVNTDSG,503-1023355-7887014,25.0,,15.56,15.56,9.44,0.6066838046272494,JP
2023-06-11,B000E0R8IS,250-7206497-4411858,170.0,46.0,106.57,152.57,17.430000000000007,0.11424264272137384,JP
2023-06-12,B002P4J3YI,503-7703021-4375067,104.0,,75.95,75.95,28.049999999999997,0.369321922317314,JP
2023-06-16,B07GZ946K1,249-1841756-4920614,40.0,,33.8,33.8,6.200000000000003,0.183431952662722,JP
2023-06-16,B07DL34R8V,250-5033738-0181401,26.9,,24.86,24.86,2.039999999999999,0.08205953338696698,JP
2023-06-16,B00R4ZVETA,503-7298507-7137460,70.0,,50.03,50.03,19.97,0.3991605036977813,JP
2023-06-16,B00KGTRY7M,249-8639634-8237421,24.0,,20.25,20.25,3.75,0.18518518518518517,JP
2023-06-16,B07DL34R8V,250-8570776-3564626,26.9,,24.86,24.86,2.039999999999999,0.08205953338696698,JP
2023-06-16,B09S9V8BLQ,249-9275226-5326268,301.0,179.29,106.51,285.8,15.199999999999989,0.05318404478656399,JP
2023-06-17,B07GMQXZSY, 249-2559808-7050249,57.0,,33.9,33.9,23.1,0.6814159292035399,JP
2023-06-17,B09LP89HZW,250-3288693-1296633,45.0,,36.02,36.02,8.979999999999997,0.24930594114380888,JP
2023-06-17,B07XDB4Z5Q,249-0788892-3511038,43.0,,36.6,36.6,6.399999999999999,0.17486338797814202,JP
