(Parent) ASIN,(Child) ASIN,Title,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Country
B07DL34R8V,B07DL34R8V,Color of Night [Blu-ray],51,0.0,0.0015,0.0,0.4902,0.0,2,0.0,66.82,0.0,Japan
B000E0R8IS,B000E0R8IS,GLOBAL G-56 Classic 7 inch knife stainless steel Vegetable Ground Hollow Chef 7 inch,57,0.0,0.0017,0.0,0.3684,0.0,1,0.0,201.11,0.0,Japan
B002P4J3YI,B002P4J3YI,ST3600057SS CHEETAH15K.7 Hard Disk Drive (600GB) Seagate [parallel import],26,11.0,0.0008,0.0194,0.1923,0.1818,1,1.0,114.17,114.17,Japan
B00KGTRY7M,B00KGTRY7M,AMERIPLATE 361 Flute cleaning rod steel,5,0.0,0.0001,0.0,1.0,0.0,1,0.0,27.13,0.0,Japan
B0B5MD3Y88,B00R4ZVETA,AVID EDUCATION AE-36-GR Stereo Classroom Computer Headset Single with Boom Mike Single Trs Plug Green,115,2.0,0.0034,0.0035,0.9391,1.0,2,0.0,78.31,0.0,Japan
B07FR7QN1J,B074WFDM89,Sylbertone St. Benedict Juvilly Medal Key type Pendant Keychain 4 1/4 inch,11,0.0,0.0003,0.0,0.3333,0.0,1,0.0,24.44,0.0,Japan
B07FTXTZCY,B07FTXTZCY,"Record player needle replacement 2 packs with diamond chips --Crosley, jensen, pyle, Detrola, etc.",32,0.0,0.001,0.0,0.4375,0.0,1,0.0,45.57,0.0,Japan
B07GMQXZSY,B07GMQXZSY,"Flamingo party wheel balloon kit (9 packs), 2 packs of pineapple balloons, 1 palm tree balloon, 2 flamingo balloon, mini framing baloon roux tropical party supplies",5,0.0,0.0001,0.0,0.6,0.0,2,0.0,65.4,0.0,Japan
B07GVNTDSG,B07GVNTDSG,Replaced camera battery cover case door cap lid repair part CANON EOS 5D Mark III 5D 3 5D3 For digital cameras,8,0.0,0.0002,0.0,1.0,0.0,1,0.0,27.77,0.0,Japan
B076KN3Z7Q,B07GZ946K1,LOURDES Rosary Metal Beads and Blue Box Gift Set,24,0.0,0.0007,0.0,0.3913,0.0,1,0.0,45.22,0.0,Japan
B07H766TMY,B07H766TMY,Light -to -go skin color pencil for adults Portrait Skin Tone Artist Color Pencil Complete Color Range Light Fast Rating,45,0.0,0.0013,0.0,0.9333,0.0,1,0.0,35.32,0.0,Japan
B07B26LBP2,B07J579P2Q,MYTYS 2 Tone cross cross -over statement ring wedding ring Ladies Men's gold and silver plating width 18mm,5,0.0,0.0001,0.0,0.6,0.0,1,0.0,39.58,0.0,Japan
B07XDB4Z5Q,B07XDB4Z5Q,Keyentre Speaker Stands,18,0.0,0.0005,0.0,0.4444,0.0,1,0.0,49.8,0.0,Japan
B0894BD1ZB,B087P72DSX,FORCEWAVE 2 Piece Silky Durag Pack Men's Ladies Wave Premium Satin Deluxe Durag Black US Size: M Color: Black,12,0.0,0.0004,0.0,0.0833,0.0,1,0.0,29.26,0.0,Japan
B08R9P3F74,B08NDN99W9,ZXIIXZ Bead Needle 18 pieces 6 Size Bead Bead Bead Seed Bead Needle Large Eye Folding Bead Needle Set Jewelry,13,0.0,0.0004,0.0,0.3077,0.0,1,0.0,25.22,0.0,Japan
B099P66Q1Y,B098T37423,AHXLL Nylon band 2 packs Samsung Galaxy Watch Active 2 44mm 40mm/Galaxy Watch 3 41mm/Galaxy Watch 444mm/Galaxy Watch 5 PRO 45 PRO 45 MM 20mm Extensions Sex sports loop breathable wristband (black+Army green),6,2.0,0.0002,0.0035,0.2,0.0,1,0.0,26.18,0.0,Japan
B098VRXBZT,B098VRXBZT,Greenlight 46070 -B Dual Driver Series 7-1970 CHEVY C -30 Dual Wrecker -Texaco 24 Hours Road Service 1:64 Scale,9,2.0,0.0003,0.0035,0.4444,0.0,1,0.0,41.2,0.0,Japan
B0999D7JGB,B0999D7JGB,"FNQUFUJ Gos Necklace Long Spike Choker Punk Rock Color Halloween Costume Jewel Gothic Accessories, Fake Leather, no Jewels",30,0.0,0.0009,0.0,0.5,0.0,1,0.0,45.7,0.0,Japan
B099K8XFG6,B099K8XFG6,SUPULSE Lipo Battery Charger 2S-3S RC Balance Charger AC 7.4-11.1V 10W Upgrade Version B3AC PRO Compact Charger Charger (B3V2),161,0.0,0.0048,0.0,0.5963,0.0,1,0.0,35.06,0.0,Japan
B0BG4HP6TT,B09LP89HZW,OTTERBOX iPhone 13 Symmetry Series + Case -Edies that snapped in black super -smooth MAGSAFE protect the camera and screen.,10,0.0,0.0003,0.0,0.4444,0.0,1,0.0,51.23,0.0,Japan
B0BDSDJW1J,B09S9V8BLQ,EMODA Queen Bed Frame Box Spring No Spring No Sprouts 18 inch High Metal Tall Platform Bed Frame Cue Large Storage Space Assembly Easy Black Black,66,1.0,0.002,0.0018,0.2308,0.0,1,0.0,360.3,0.0,Japan
024142691X,024142691X,Jill Murphy's worst witch -8 book collection,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
1531913121,1531913121,DOGMA 2022 Calendar: a Dog's Guide to Life,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
1531917100,1531917100,Seize The Day and Make it Yours 2023 Daily Calendar,3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0BDV1989L,153191716X,Fender Custom SHOP GUITAR 2023 Daily Calendar,9,0.0,0.0003,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0B9SX3W5F,1531917488,DOGMA 2023 Weekly Planner: a Dog's Guide to Life (EngageMent 16 Month),2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
1635653886,1635653886,Men's Health MA40: 8 Weeks to Ripped,3,0.0,0.0001,0.0,0.6667,0.0,0,0.0,0.0,0.0,Japan
B081F1CZPN,1733221905,"TravelFlips Korean Flash Card -Learn Korean words and phrases -Basic Korean for beginners -For gifts for children, children and adults",5,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B095HWB3G7,1733376666,DUNGEON CRAFT Battle Mapboard Board Game Dungeons and Dragons Double -sided glossy laminate DND Matwet & Dry Race Board Table Top Game Ocean Pack 24 inches x33 inch/1 inch grid),8,0.0,0.0002,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
1789789168,1789789168,"Claude Monet Poster (13 x 19 inch, 20 packs)",3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
1936112191,1936112191,Card Game-Star Fluxx [parallel import],1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
194828541X,194828541X,Excey -Shovel Knight -Peg Box,2,0.0,0.0001,0.0,0.5,0.0,0,0.0,0.0,0.0,Japan
6317645949,6317645949,The Little Mermaid (30th Anniversary Signature Collection) [Blu-ray],15,0.0,0.0004,0.0,0.0667,0.0,0,0.0,0.0,0.0,Japan
B081DLVJ31,993596051X,"Action Day 2022-2023 Academic Planner Weekly School Diary Calendar Faster than powerful action design -easier -pen loop, bookmark, pocket -8x11 inch -black",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B00002EQAF,B00002EQAF,PEG Perego Batería de Repuesto OFICIAL DE 12 V,3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B00002NCEM,B00002NCEM,"HIGH EFFICIENCY POP-UP HEAD-1800 ADJ 4 ""POP-UP HEAD (parallel import)",1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B00004RDF0,B00004RDF0,MUSSO Ice Cream Machine Lussino Mini 4080 ICE CREAM Machine Stainless Steel Made in Italy,50,0.0,0.0015,0.0,0.24,0.0,0,0.0,0.0,0.0,Japan
B00004T807,B00004T807,Johnson Level (Johnson Level) Acng Locator angle,2,2.0,0.0001,0.0035,0.0,0.0,0,0.0,0.0,0.0,Japan
B00004T82J,B00004T82J,General Tools 130 Repairman's Reamer,1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B00004T9KW,B00004T9KW,"JBG-8A 8 ""Bench Grinder1HP-1-Phase",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B00004WI57,B00004WI57,Love Letter [DVD],12,0.0,0.0004,0.0,0.5833,0.0,0,0.0,0.0,0.0,Japan
B00004Z4H4,B00004Z4H4,SHUR LINE06100CGALLON CAN POURER-GALLON CAN PAINT POURER,9,0.0,0.0003,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B00005113L,B00005113L,Cables to go 03134 10ft Universal Power Cord (IEC320 C13 to Nema 5-15P) [parallel import],1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0000531CQ,B0000531CQ,"TwinLab Stress B-Complex Caps with Vitamin C, 250 Capsules",2,0.0,0.0001,0.0,0.5,0.0,0,0.0,0.0,0.0,Japan
B00005N8AN,B00005N8AN,Tamilee Webb: Total Stretch for Beginners [DVD],12,0.0,0.0004,0.0,0.8333,0.0,0,0.0,0.0,0.0,Japan
B00005NCWQ,B00005NCWQ,Farberware Furberwear Classic Stainless Steel Yosemite 8-CUP COFFEE PERCOLATOR Coffee parcorator [parallel import],13,0.0,0.0004,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B00006FMDT,B00006FMDT,Shell Seekers [DVD],1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B00006IBTR,B00006IBTR,"Book, REC, 35LN, 500pg, be",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B081HFDCXC,B00006ICSV,Adams Reciving Reciving Record Book 2 Parts Carbon Less 5-9/16 X 8-7/16 Inch 1 book 50 sets (DC5089) EACH,3,0.0,0.0001,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B0711X4CV7,B00006ICTD,Adams Neon 13cm x 10cm While You Were Out Message Pad 6 Pack (9711NEON),4,0.0,0.0001,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B000099O2W,B000099O2W,"Premium Choice Laserjet Paper, 98 Brightness, 32LB, 8-1/2x11, White, 500 SHTS/RM (parallel import)",2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B00009WE4B,B00009WE4B,Taylor commercial waterproof digital thermometer,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B00009XVCZ,B00009XVCZ,Canon EF 50mm -F/1.4 USM Lens,17,1.0,0.0005,0.0018,0.0,0.0,0,0.0,0.0,0.0,Japan
B0000A3ZZF,B0000A3ZZF,Motorstorm: Arctic Edge (imported version: North America) PSP,11,0.0,0.0003,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0000AY0XU,B0000AY0XU,Betts 780-4-31 1/4 oz Magnum Spec Rig Yellow and White Finish,1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B071FDTT89,B0000BYRS3,"(110cm, Scarlet) --FLAG-A-TAG SONIC BOOM FLAG BELT, Set of 12",3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0000C1XU1,B0000C1XU1,"Groupe ApprovisionNement Sport 1188271 X 8,5 5 X 1,5 CM-CHRONOMETRE Mémoire 100 Tours",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B072BZWMJY,B0000CFLHE,"Boston Warehouse Novelty Light Duty Oven Mitt, Moose By Boston Warehouse",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B071H1WD1W,B0000CFOLV,[2 sheets] Glass film LCD reinforced film full cover,9,0.0,0.0003,0.0,0.1111,0.0,0,0.0,0.0,0.0,Japan
B0000DH4KJ,B0000DH4KJ,Purdy 380320 Professional Sprig Black Paint Brush,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0000INU6I,B0000INU6I,Leap FROG -Talking Words Factory,3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0000ZH0SU,B0000ZH0SU,Black Indians: An American Story [DVD],1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B0746PP9D1,B000117C4K,"FROST KING DS101WA SELF-STICK DOOR SWEEP 1-1/4-inch by 36-inches, White by Frost King",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B00013ZCMW,B00013ZCMW,Spray Bottle Cleaning Solution,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B000142P12,B000142P12,APHOGEE Keratin & Green Tea Listorizer,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B00015HBEW,B00015HBEW,"SPORNETTE DOUBLE STREANDED XL NYLON ROUNDER BRUSH, 2.5-inch Diameter by Spornette [parallel import]",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B000189RMS,B000189RMS,FOREDOM 44T Handpiece Flexible Shaft Grinders --H.44T,3,1.0,0.0001,0.0018,0.0,0.0,0,0.0,0.0,0.0,Japan
B01LW2RNWT,B0001DUCJA,LILY SUGAR 'N cream thread 2.5 OZ Green 10200100084,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0001I55UQ,B0001I55UQ,Watcher in The Woods [Import USA Zone 1],1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B0001TJX2Q,B0001TJX2Q,CASTOR OIL -32 FL OZ by HOME HEALTH,36,0.0,0.0011,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0748FDS88,B0001XXC74,(Foxrun) FOXRUN Kitchen Art Pro Adjustment Cup 1 Cup 1 Cup 55250,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B00020X83Y,B00020X83Y,PUNKY BREWSTER: Season One/ [DVD],4,0.0,0.0001,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B00021VTES,B00021VTES,Estee Lauder Automatic Lip Pennsyluduo 05 Cafe Roses (body+2 refills),17,0.0,0.0005,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B00029J3AC,B00029J3AC,Thrush Thrush Turbo 17713 Exhaust muffler,5,0.0,0.0001,0.0,0.8,0.0,0,0.0,0.0,0.0,Japan
B0002AQRLE,B0002AQRLE,LK Fresh & Clean C Rinse,1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B07145Q9BX,B0002B9DLO,"Campus Images NCAA SPIRIT graduation certificate frame. 8.5 x 11 ""brown",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0002H3RLU,B0002H3RLU,The Stuff 16oz Conditioner & Detangler by the Stuff,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0002Q9F26,B0002Q9F26,BoESHIELD T-9 Waterproof LUUBRICATION 1 GALLON JUG BY BOESHILD,2,0.0,0.0001,0.0,0.5,0.0,0,0.0,0.0,0.0,Japan
B0002QIJ1E,B0002QIJ1E,KAYLOR-MADE SWEET HARVEST VITAMIN ENRICHED COCKATIEL NO SUNFLOWER SEEDS 4 LB by Kaylor-Made,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B072N4LTDQ,B0002T7NE0,Quickie 223T Pro Deck Scrub Brush Twin,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0BDS8D8MX,B0002TUFXG,"FREUD LU91R012: 12 ""Thin Kerf Sliding Compoken Miter Saw Blade",4,0.0,0.0001,0.0,0.5,0.0,0,0.0,0.0,0.0,Japan
B0002YS7KO,B0002YS7KO,SWANSON Tool TS154 Steel Ruffter square 16 inch x 24 inch black gradation (yellow),4,0.0,0.0001,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B0002YUWI4,B0002YUWI4,Parker MCCRORY 901 6 Volt Fencer Battery,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0002ZPSPU,B0002ZPSPU,"Goldwood OUND GW-204/8 HIELDED 4 ""WOOFE 70 WTT 8OH EPLEENT PEE, BL""",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0002ZPTBI,B0002ZPTBI,AURA AST-2B-4 Pro Bass Shaker [parallel import],27,0.0,0.0008,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B07RLJWR5J,B0003DKT64,"Perry Suspenders Men's elastic hook end 1/2 inch suspender (tall possible), regular white",5,0.0,0.0001,0.0,0.2,0.0,0,0.0,0.0,0.0,Japan
B00062ZI3G,B00062ZI3G,Spectre Performance SPE-4480 Water Pumpo Li Sim Kit,3,0.0,0.0001,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B0006309HK,B0006309HK,Painless wiring 30709 High output ALT. wire.,1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B00066CUME,B00066CUME,Platts dog harness spawn Halter training harness L Large dog red,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0747L1MTT,B0006B47BG,"Benson Mills Clear Plastic Tablecloth, 140cm by 140cm",2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0006GE3X8,B0006GE3X8,KENDALL ABD SURGICAL DRESSING 8X10 18/BY KENDALL/COVIDIEN,1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B01N5MU3DS,B0006HVH9A,REDIFORM SMALL MONEY RECEIPT BOOK,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B071FLJF35,B0006I3SIC,VANITY Fair Underwear Ladies US Size: M Color: Beige,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B072PWLB59,B0006I7H2K,"VANITY FLAIR Ladies Rose Pattern Lace Slip #10103 US Size: 42 BUST (22 ""Length) Color: White",1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B0006O2KMG,B0006O2KMG,"GOTU KOLA EXTRACT, 1 OZ",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0006PJSKC,B0006PJSKC,CUCCIO butter blend milk & honey body 8oz,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0006TZN3Y,B0006TZN3Y,LIQUITEX Professional Heavy Body Krill Paint 2 Tube Alyarin Red Color No Color 2-OZ TUBE White 1045432,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0006Z2KIY,B0006Z2KIY,The notebook [DVD],1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B0006ZUUW2,B0006ZUUW2,Mühle White Porcelain Shaving Mug,1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B0007NFMCG,B0007NFMCG,TEENAGE MUTANT NINJA TURTLES: VOLUME 2 / [DVD],3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0007U00YE,B0007U00YE,"Katadyn Pocketer Filter, Long Lasting for Personal or Small Group Camping, Backpacking or Emergency PrepAREDNESS",5,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0007U46T4,B0007U46T4,IQAIR genuine original HealthPro series V-5 Cell gas/odor removal filter Gas Volvely organic compound formaldehyde smell removal,7,0.0,0.0002,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0007V6PK6,B0007V6PK6,Bella B Company Tamitsu Teke -Stretch mark prevention 4OZ,1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B01IRWJIXC,B0007YR8YA,Playtex For women 18 hours Comfortable original strap bra #4693 Color: White,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B01IRWJIXC,B0007YR9BW,Playtex For women 18 hours Comfortable original strap bra #4693 Color: White,1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B078FXTHC2,B0008D7EUI,AMPERSAND ORIGINAL SMOOTH CLAYBORD 16 in. X 20 in. Each by ampersand,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0008ELXRM,B0008ELXRM,"Basket of Babies MTC-13 Creative Minds Plush, 6 Piece Set for All Eges",6,0.0,0.0002,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0009JTS78,B0009JTS78,"G & F 5013M JUSTFORKIDS Kids Leather Glove, Kids Garden Glove, 4-6 years old",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0009MZ9UA,B0009MZ9UA,Memorex Telex 4.7GB 16x-speed recording DVD-R disk (50 pieces) parallel import goods,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0728HNVNL,B0009MZWFC,Thorlos (solo) Outdoor socks thick cushion thick knee lower mcB combat boots BLK (black) 13 (27.0-30.0cm) MCB-13-BLK Black 13 (27.0-30.0cm),3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0009YDS10,B0009YDS10,Nintendogs: Labbrador NDS,8,0.0,0.0002,0.0,0.625,0.0,0,0.0,0.0,0.0,Japan
B000A16T7M,B000A16T7M,Easy Gardener-Weedblock 7ft. X 100ft. Deer Barrier LG40017110mg,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B000A2ZTXG,B000A2ZTXG,"Competition Shot Put, 12 LBS",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
